index,main_folder,name,rel_path,abs_path,sheet_file,page,row,col,duration_s,width,height
1,16. Videos,bianca-blue_01.mov,Bianca Blue/bianca-blue_01.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_01.mov,16. Videos__VIDEO_sheet_01.png,1,1,1,2.57,3840,2160
2,16. Videos,bianca-blue_02.mov,Bianca Blue/bianca-blue_02.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_02.mov,16. Videos__VIDEO_sheet_01.png,1,1,2,7.57,1920,1080
3,16. Videos,bianca-blue_03.mov,Bianca Blue/bianca-blue_03.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_03.mov,16. Videos__VIDEO_sheet_01.png,1,1,3,6.77,1920,1080
4,16. Videos,bianca-blue_04.mov,Bianca Blue/bianca-blue_04.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_04.mov,16. Videos__VIDEO_sheet_01.png,1,1,4,12.4,1920,1080
5,16. Videos,bianca-blue_05.mov,Bianca Blue/bianca-blue_05.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_05.mov,16. Videos__VIDEO_sheet_01.png,1,2,1,7.4,1920,1080
6,16. Videos,bianca-blue_06.mov,Bianca Blue/bianca-blue_06.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_06.mov,16. Videos__VIDEO_sheet_01.png,1,2,2,8.93,1920,1080
7,16. Videos,bianca-blue_07.mp4,Bianca Blue/bianca-blue_07.mp4,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_07.mp4,16. Videos__VIDEO_sheet_01.png,1,2,3,4.2,1080,1350
8,16. Videos,bianca-blue_08.mov,Bianca Blue/bianca-blue_08.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_08.mov,16. Videos__VIDEO_sheet_01.png,1,2,4,3.17,3840,2160
9,16. Videos,bianca-blue_09.mov,Bianca Blue/bianca-blue_09.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_09.mov,16. Videos__VIDEO_sheet_01.png,1,3,1,16.9,3840,2160
10,16. Videos,bianca-blue_10.mp4,Bianca Blue/bianca-blue_10.mp4,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_10.mp4,16. Videos__VIDEO_sheet_01.png,1,3,2,3.47,1080,1350
11,16. Videos,bianca-blue_11.mov,Bianca Blue/bianca-blue_11.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_11.mov,16. Videos__VIDEO_sheet_01.png,1,3,3,2.7,1920,1080
12,16. Videos,bianca-blue_12.mov,Bianca Blue/bianca-blue_12.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_12.mov,16. Videos__VIDEO_sheet_01.png,1,3,4,9.01,2160,3840
13,16. Videos,bianca-blue_12.mp4,Bianca Blue/bianca-blue_12.mp4,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_12.mp4,16. Videos__VIDEO_sheet_01.png,1,4,1,9.23,2160,3840
14,16. Videos,bianca-blue_13.mov,Bianca Blue/bianca-blue_13.mov,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_13.mov,16. Videos__VIDEO_sheet_01.png,1,4,2,33.03,2160,3840
15,16. Videos,bianca-blue_13.mp4,Bianca Blue/bianca-blue_13.mp4,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_13.mp4,16. Videos__VIDEO_sheet_01.png,1,4,3,11.52,1920,1080
16,16. Videos,bianca-blue_14.mp4,Bianca Blue/bianca-blue_14.mp4,/Users/Foongbear/Library/CloudStorage/GoogleDrive-da@heyleyholdings.com/Shared drives/Me + Lia/Content/16. Videos/Bianca Blue/bianca-blue_14.mp4,16. Videos__VIDEO_sheet_01.png,1,4,4,13.92,1920,1080
